Wavelength (μm),Warm White 2200K,Warm White 3000K,Neutral White 4000K ,Cool White 5500K,Cool White 6500K,UVA (365 nm),Violet (385 nm),Violet (395 nm),Violet (405 nm),Deep Blue (436 nm),Royal Blue (453 nm),Dental Blue (460 nm),Cyan (500 nm),PC Lime,Green (517 nm),Amber (593 nm),PC Amber,Red (633 nm),Deep Red (660 nm),Far Red (740 nm),Infra Red (850 nm),Deep Infra Red (940 nm)
0.3,0.00E+00,4.22E-05,8.39E-05,4.15E-05,0,0.000186921,4.10E-04,2.93E-04,0.000293098,0.00027465,0.000274459,1.27E-04,0.000170145,6.39E-05,1.09E-05,8.19E-05,0,0.000153119,8.01E-05,0.00011246,0.00E+00,0
0.301,0,4.22E-05,-1.25E-05,-4.51E-06,0,0.000225358,0.000335194,0.00031233,0.00031233,0.00027465,0.000274459,0.000127325,1.37E-05,5.55E-05,8.49E-06,6.27E-05,0,0.000111047,6.30E-06,3.61E-05,0,0
0.302,0,4.22E-05,8.09E-05,7.98E-05,0,0.000211442,0.000280469,0.000301857,0.000301857,0.00027465,0.000274459,0.000127325,-0.000376834,6.28E-05,0.000106223,3.96E-05,0,7.45E-05,5.45E-05,-5.58E-05,0,0
0.303,0,4.22E-05,0.000131592,7.61E-05,0,0.000258085,0.000361558,0.000189642,0.000189642,0.00027465,0.000274459,0.000127325,-0.000176559,6.96E-05,9.56E-05,2.78E-05,0,6.33E-05,0.000111257,5.79E-06,0,0
0.304,0,4.22E-05,0.000106998,1.50E-05,0,0.00032702,0.000369694,0.000277828,0.000277828,0.00027465,0.000274459,0.000127325,-2.08E-05,5.04E-05,3.82E-05,2.59E-05,0,5.47E-05,4.04E-05,0.000120873,0,0
0.305,0,4.22E-05,4.43E-05,-6.11E-05,0,0.000308536,0.000347915,0.000409691,0.000409691,0.00027465,0.000274459,7.02E-05,-0.000152932,5.96E-05,5.74E-05,3.40E-05,0,0.000110763,3.50E-05,3.34E-05,0,0
0.306,0,4.22E-05,5.41E-05,-4.99E-05,0,0.000252231,0.000275324,0.000335194,0.000335194,0.00027465,0.000274459,7.15E-05,-0.000286044,5.71E-05,0.000156365,3.40E-05,0,0.000135345,4.53E-05,-7.34E-05,0,0
0.307,0,4.22E-05,9.25E-05,6.15E-05,0,0.000225959,0.0003049,0.000280469,0.000280469,0.00027465,0.000274459,0.000158688,-3.89E-05,6.63E-05,0.000128565,5.25E-05,0,9.97E-05,5.76E-05,-2.92E-06,0,0
0.308,0,4.22E-05,0.000120158,9.71E-05,0,0.000209301,0.000272547,0.000361558,0.000361558,0.00027465,0.000274459,0.000177431,0.000230151,9.67E-05,7.85E-05,8.75E-05,0,0.000122936,0.000152281,0.000166135,0,0
0.309,0,4.22E-05,0.000128637,-1.86E-05,0,0.000257296,0.000237284,0.000369694,0.000369694,0.00027465,0.000274459,0.000149998,2.00E-05,0.000102656,3.18E-05,4.69E-05,0,8.83E-05,8.74E-05,0.000243931,0,0
0.31,0,4.22E-05,4.20E-05,-4.37E-05,0,0.000237428,0.000373317,0.000347915,0.000347915,0.00027465,0.000274459,0.000117013,-0.000330216,1.00E-04,3.74E-05,-1.17E-05,0,5.71E-05,-4.34E-05,7.34E-05,0,0
0.311,0,3.86E-05,1.27E-05,7.90E-07,0,0.000207872,0.000264887,0.000275324,0.000275324,0.00027465,0.000274459,0.000144552,-0.000277146,9.91E-05,3.40E-06,-2.77E-05,0,8.52E-05,-0.000116834,4.08E-05,0,0
0.312,0,3.86E-05,2.56E-05,2.20E-05,0,0.000268299,0.000327681,0.0003049,0.0003049,0.00027465,0.000274459,0.00024615,-0.000311748,9.29E-05,-1.09E-05,1.49E-05,0,0.000119994,-2.17E-05,2.68E-05,0,0
0.313,0,3.86E-05,-6.52E-06,-1.14E-05,0,0.000288211,0.000404676,0.000272547,0.000272547,0.00027465,0.000274459,0.000220804,-5.17E-05,8.59E-05,5.11E-05,2.30E-05,0,5.36E-05,-2.77E-05,-1.86E-05,0,0
0.314,0,3.86E-05,-2.78E-05,-2.41E-05,0,0.000244623,0.00037066,0.000237284,0.000237284,0.00027465,0.000274459,0.000101369,0.000240074,8.03E-05,8.23E-05,-6.05E-06,0,3.14E-05,5.09E-05,-2.13E-05,0,0
0.315,0,3.86E-05,1.93E-05,4.12E-05,0,0.00029025,0.000441346,0.000373317,0.000293098,0.00027465,0.000274459,9.08E-05,9.62E-05,5.95E-05,0.000137629,5.57E-05,0,5.58E-05,7.83E-05,1.43E-05,0,0
0.316,0,3.86E-05,6.84E-05,0.000133668,0,0.000321797,0.000435539,0.000264887,0.00031233,0.00027465,0.000274459,0.00016342,-2.82E-05,6.51E-05,0.000101119,9.13E-05,0,0.000147847,9.14E-05,0.000126316,0,0
0.317,0,3.86E-05,3.56E-05,9.39E-05,0,0.000292082,0.000383426,0.000327681,0.000301857,0.00027465,0.000274459,0.00014765,0.000206867,7.15E-05,5.21E-05,6.64E-05,0,0.000133528,0.000114069,0.000118871,0,0
0.318,0,3.86E-05,1.53E-05,2.43E-05,0,0.00027702,0.000469794,0.000404676,0.000189642,0.00027465,0.000274459,6.89E-05,-5.26E-05,6.57E-05,1.62E-05,2.35E-05,0,3.08E-05,-5.40E-06,3.69E-06,0,0
